	Ctrl_0h	Lps_1h	Lps_2h	Lps_4h	Lps_6h	Lps_12h	Lps_24h	R848_1h	R848_2h	R848_4h	R848_6h	R848_12h	R848_24h	Ifnb_1h	Ifnb_2h	Ifnb_4h	Ifnb_6h	Ifnb_12h	Ifnb_24h
ACAT2	43.32375	51.842	46.88	39.3375	25.3875	29.146	15.0233333333333	35.3066666666667	35.3666666666667	36.5466666666667	29.7533333333333	12.87	8.74333333333333	38.81	44	38.62	35.945	13.53	16.09
ACBD3	50.5804166666667	45.854	50.67	42.715	48.93	44.396	48.2866666666667	55.9666666666667	51.87	56.6966666666667	46.7333333333333	55.6866666666667	45.98	50.905	39.33	41.055	38.265	41.945	50.225
ACBD4	3.06583333333333	1.71	2.612	0.7175	0.805	1.59	2.7	2.18333333333333	1.62	0.433333333333333	0.9	0.836666666666667	0.826666666666667	1.91	2.005	1.815	1.635	1.285	2.23
ACBD5	33.3591666666667	39.002	26.108	23.68	34.9925	46.204	46.84	28	24.02	9.95666666666667	9.93666666666667	28.22	24.3366666666667	24.355	23.02	35.795	42.58	36.62	37.37
ACBD6	19.2704166666667	15.662	10.564	6.3075	4.1825	10.542	10.3933333333333	16.4	16.3766666666667	9.94	7.55333333333333	9.91666666666667	11.65	18.8	20.91	15.965	11.01	7.82	12.475
ACBD7	1.93958333333333	0.536	1.968	1.20875	1.31	0.778	1.26666666666667	2.17666666666667	2.42666666666667	2.2	1.58	1.80666666666667	0.613333333333333	5.59	5.41	5.115	4.53	2.89	1.575
ACCS	2.11041666666667	4.95	2.882	2.61375	1.4575	0.772	1.28	3.36666666666667	3.22333333333333	2.93666666666667	1.29666666666667	0.876666666666667	0.713333333333333	1.355	1.54	1.035	0.685	0.65	0.6
ACCSL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACD	11.42125	9.496	12.618	6.64	6.5325	12.462	14.6266666666667	6.22	6.82666666666667	4.29666666666667	3.17666666666667	7.42666666666667	5.50333333333333	7.2	5.735	4.75	4.44	6.865	7.605
ACE	322.675	441.714	526.02	387.01375	460.765	236.528	210.43	356.77	389.406666666667	334.033333333333	282.856666666667	201.866666666667	80.3966666666667	343.115	281.485	209.54	234.96	280.575	196.8
ACE2	0.0245833333333333	0	0.014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.065
ACER1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER2	1.45791666666667	1.342	0.754	0.42125	0.2275	0.648	1.1	0.676666666666667	0.62	0.15	0.203333333333333	0.343333333333333	0.686666666666667	0.505	0.295	0.025	0.185	0.175	0.475
ACER3	35.7804166666667	40.758	38.79	36.23625	29.12	25.808	18.6966666666667	26.5966666666667	24.13	20.3966666666667	21.2666666666667	25.5666666666667	21.08	24.995	24.46	23.96	22.92	14.455	12.37
ACHE	0.372916666666667	0.348	1.706	2.20125	1.71	3.692	7.64333333333333	0.0433333333333333	0.173333333333333	0.43	0.47	0.366666666666667	0.29	0.035	0.125	0.035	0	0	0.065
ACIN1	88.9075	65.894	63.29	44.97875	37.52	53.036	68.3466666666667	33.5533333333333	34.4166666666667	15.9566666666667	19.5633333333333	41.56	31.2766666666667	29.63	23.36	17.05	25.29	37.58	25.46
ACKR1	0.115833333333333	0.212	0.016	0.43625	0.38	0.076	0.02	0	0	0	0.126666666666667	0	0	0.075	0.045	0.035	0.07	0	0.06
ACKR2	1.08541666666667	0.178	0.146	0.035	0.08	0.128	0.216666666666667	0.216666666666667	0.403333333333333	0.103333333333333	0.256666666666667	0.233333333333333	0.0433333333333333	0.22	0.27	0.13	0.295	0.065	0.05
ACKR3	5.49458333333333	0.058	0.096	0.045	0.3675	4.666	9.30333333333333	0.196666666666667	0.23	0.0566666666666667	0.0733333333333333	0.74	1.35666666666667	0.135	0	0.04	0	0.035	0.065
ACKR4	0.530416666666667	0.22	0.086	0.145	0.1575	0.258	0.213333333333333	0.0233333333333333	0	0	0.02	0	0.06	0	0.07	0	0.115	0.03	0.125
ACLY	65.45125	73.188	60.28	50.71125	46.505	98.476	87.1266666666667	45.22	47.0133333333333	33.7566666666667	26.62	44.6933333333333	38.9666666666667	44.42	40.275	39.66	39.34	47.97	50.605
ACMSD	0.0108333333333333	0	0	0	0.0425	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0
ACN9	6.89666666666667	4.738	3.002	1.23875	0.735	1.816	2.73666666666667	5.53333333333333	4.69	1.89	1.55333333333333	1.03333333333333	1.95333333333333	5.65	4.96	5.93	3.35	2.14	4.195
ACO1	16.96375	19.81	20.056	18.7175	17.3325	50.45	81.51	16.1533333333333	16.2366666666667	19.7866666666667	26.3466666666667	55.7133333333333	57.3366666666667	16.45	15.37	14.29	10.04	2.755	1.99
ACO2	86.5695833333333	95.336	96.698	76.2425	86.1425	61.224	99.4766666666667	90.2766666666667	92.5966666666667	82.8866666666667	74.4633333333333	77.49	65.8866666666667	88.845	81.805	74.98	66.99	47.435	47.07
ACOT1	8.44041666666667	11.004	5.342	3.93875	4.67	8.446	7.6	10.7533333333333	8.30666666666667	3.09333333333333	2.72	4.15	7.95333333333333	8.51	14.03	7.86	7.665	9.08	12.285
ACOT11	4.35083333333333	2.956	3.1	0.955	0.6725	0.466	0.913333333333333	2.83	3.05333333333333	0.96	0.75	1.50333333333333	2.68	1.585	1.48	0.78	0.325	0.13	0.05
ACOT12	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT13	20.5754166666667	22.212	19.038	15.33	13.9275	23.546	24.2233333333333	15.2933333333333	12.7633333333333	9.70333333333333	8.85	14.2033333333333	16.5933333333333	16.145	16.14	16.265	18.555	25.245	27.45
ACOT2	30.9179166666667	40.99	27.176	16.3725	17.215	31.394	34.7466666666667	39.59	32.66	15.1766666666667	10.5266666666667	18.16	29.0166666666667	39.725	34.085	28.75	29.605	32.645	44.125
ACOT4	2.9725	2.214	2.028	1.20625	0.635	3.066	2.69333333333333	7.44	6.42	1.21	0.756666666666667	3.52666666666667	7.49666666666667	6.205	5.73	2.97	1.935	1.975	4.02
ACOT6	0.0216666666666667	0	0	0	0.06	0.168	0.0733333333333333	0	0	0	0	0	0	0	0	0	0	0	0
ACOT7	101.246666666667	161.782	113.944	102.05	85.16	108.594	209.953333333333	56.37	55.6633333333333	42.5766666666667	33.1266666666667	30	47.8266666666667	66.49	66.26	72.12	100.535	187.405	276.235
ACOT8	17.0695833333333	14.832	12.05	7.73375	7.07	9.228	12.02	16.6733333333333	14.08	8.28	6.14333333333333	6.73666666666667	9.14666666666667	13.9	15.265	11.41	9.53	6.645	8.02
ACOT9	53.0116666666667	57.2	53.318	84.275	127.3275	128.54	91.28	43.7566666666667	43.75	62.85	77.7666666666667	113.993333333333	77.09	46.505	55.55	107.43	166.455	164.74	143.395
ACOX1	29.8208333333333	33.562	33.958	36.18125	30.7275	47.584	48.9133333333333	24.11	23.42	24.8833333333333	25.86	37.3866666666667	29.74	24.465	20.66	19.27	14.425	10.865	13.755
ACOX2	1.51083333333333	1.14	0.634	0.53625	0.3775	0.288	0.176666666666667	0.483333333333333	0.22	0.233333333333333	0.163333333333333	0	0	0.575	0.5	0.275	0.155	0.145	0
ACOX3	10.4845833333333	12.096	26.62	53.07375	58.305	34.724	30.5033333333333	10.16	14.47	27.5833333333333	26.41	29.16	14.24	9.895	8.78	8.845	9.28	8.925	9.815
ACOXL	0.0604166666666667	0.016	0.092	0.0525	0.0225	0.14	0.0666666666666667	0	0	0	0.02	0	0	0	0	0	0	0.03	0
ACP1	84.8183333333333	82.324	61.838	54.82375	40.12	67.578	65.5466666666667	67.67	58.4033333333333	45.7333333333333	43.2933333333333	47.83	51.9533333333333	72.815	72.295	61.885	57.36	48.8	63.68
ACP2	83.0158333333333	112.09	124.43	133.55125	211.655	222.98	239.286666666667	97.0566666666667	104.733333333333	119.23	121.646666666667	181.89	231.13	99.85	90.02	95.78	136.09	203.03	259.06
ACP5	1801.87958333333	2295.612	2176.784	1799.085	1236.245	515.79	271.783333333333	2275.92333333333	2348.85	1942.87	1485.54666666667	720.646666666667	424.373333333333	2302.39	2077.76	1739.945	2008.52	2307.67	2050.39
ACP6	2.99416666666667	2.414	0.94	0.4325	0.35	0.576	1.71	1.53666666666667	1.75666666666667	0.576666666666667	0.256666666666667	0.3	0.696666666666667	1.49	1.05	1.04	0.425	0.075	0.415
ACPP	23.08125	14.274	10.45	8.415	11.345	3.42	5.06	11.8433333333333	11	5.21333333333333	7.51	4.26333333333333	4.8	13.75	12.48	10.88	7.535	3.005	3.64
ACPT	0.124583333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACR	0.04375	0	0	0	0	0.038	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRBP	3.97666666666667	2.03	2.43	1.1875	1.4375	1.23	3.08	2.65333333333333	2.49333333333333	2.18666666666667	1.71666666666667	0.753333333333333	1.37	2.265	2.475	1.44	1.51	1.375	0.865
ACRC	0.777916666666667	0.2	0.738	0.62	0.3375	0.442	0.29	0.206666666666667	0.22	0.553333333333333	0.346666666666667	0.513333333333333	0.376666666666667	0.345	0.11	0.17	0.36	0.32	0.115
ACRV1	0.23	0	0.332	0.085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSBG1	0.06625	0.024	0	0.02875	0.065	0.016	0.0466666666666667	0	0	0	0	0	0	0	0	0	0	0	0
ACSBG2	0.12875	0.018	0.04	0	0	0.036	0	0	0	0	0	0	0	0.125	0	0	0	0	0
ACSF2	34.7545833333333	45.238	35.736	21.84875	14.7325	15.912	24.5433333333333	19.2233333333333	17.1733333333333	9.40333333333333	5.79	2.39333333333333	8.44	20.685	18.735	17.645	11.29	8.82	6.105
ACSF3	12.3095833333333	10.32	7.692	3.08	2.3	5.692	7.78666666666667	11.4866666666667	9.52666666666667	2.42666666666667	2.34	6.22	5.96666666666667	11.585	8.075	4.21	4.755	7.005	6.875
ACSL1	123.033333333333	215.124	532.602	804.7675	577.4475	370.146	197.883333333333	149.113333333333	273.84	723.873333333333	696.073333333333	483.196666666667	416.046666666667	126.465	176.66	284.37	276.67	262.05	230.22
ACSL3	105.407916666667	124.32	127.93	130.925	91.635	116.032	113.116666666667	114.066666666667	103.35	80.18	80.2033333333333	98.8033333333333	123.276666666667	106.64	104.51	80.5	71.56	97.565	137.57
ACSL4	85.2879166666667	85.268	87.584	162.225	201.77	203.146	159.14	62.0566666666667	58.01	76.24	143.293333333333	286.823333333333	244.09	54.555	54.17	72.19	102.925	141.765	112.545
ACSL5	48.7895833333333	62.564	68.244	113.355	85.36	187.14	168.066666666667	41.12	41.45	72.85	114.56	188.563333333333	160.38	39.96	37.875	36.43	37.97	36.51	35.96
ACSL6	0.933333333333333	0.676	1.368	1.07125	0.4775	0.584	0.376666666666667	0.0433333333333333	0.03	0.01	0.0433333333333333	0	0.0433333333333333	0.065	0.085	0	0.03	0.02	0.025
ACSM1	0.606666666666667	0.134	0.032	0.06	0.08	0.032	0	0	0	0	0	0	0	0	0	0.115	0	0.07	0
ACSM2A	0.00791666666666667	0	0	0	0	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM2B	0.0195833333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM3	2.95791666666667	1.526	0.978	0.49875	0.23	0.424	0.716666666666667	1.01333333333333	0.96	0.426666666666667	0.27	0	0.05	1.19	0.94	0.245	0.48	0.315	0.625
ACSM4	0.04	0	0.03	0.0225	0.035	0	0	0	0.0933333333333333	0	0.0266666666666667	0	0	0	0	0.045	0	0.075	0.08
ACSM5	2.93875	2.996	4.022	2.455	1.7475	1.208	0.616666666666667	3.91333333333333	5.26333333333333	2.86666666666667	1.92333333333333	0.556666666666667	0.286666666666667	5.245	6.805	6.535	11.745	25.825	36.455
ACSM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	18.13125	11.276	9.9	3.54375	1.73	2.322	3.83666666666667	8.5	8.91	2.2	0.783333333333333	0.603333333333333	0.863333333333333	9.735	7.655	4.07	3.5	4.64	5.495
ACSS2	44.0504166666667	42.91	33.734	16.42875	12.8425	28.542	32.4266666666667	35.1733333333333	31.3966666666667	15.63	7.82333333333333	17.5833333333333	20.0533333333333	36.405	29.485	28.875	24.455	19.58	21.36
ACSS3	0.0916666666666667	0.04	0.142	0.0175	0	0.018	0.0833333333333333	0.0333333333333333	0.0533333333333333	0.02	0	0	0	0.095	0	0.025	0.03	0	0.07
ACTA1	0.120416666666667	0.068	0	0.1675	0.095	0.07	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0.045	0
ACTA2	32.8304166666667	52.014	33.004	24.945	16.9225	20.424	34.3	20.1566666666667	17.61	9.78666666666667	5.83	2.64666666666667	5.09333333333333	17.955	15.535	17.095	20.905	43.22	79.375
ACTA2-AS1	0.4575	0.856	0.508	0.5025	0.2475	0.338	0.466666666666667	0.0766666666666667	0.183333333333333	0.206666666666667	0.0633333333333333	0.253333333333333	0.143333333333333	0.345	0.28	0.305	0.205	0.095	0.2
ACTB	10483.9708333333	10015.076	11365.502	10789.0225	11486.99	10712.072	11999.7133333333	9547.85333333333	10786.1733333333	10870.55	9869.6	9856.65666666667	8102.60666666667	9390.95	8300.915	9341.79	8945.875	9645.625	8705.66
ACTBL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	0.00458333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1	2933.14833333333	2714.556	3207.428	2961.58875	1979.0525	1540.374	1124.47666666667	1904.61	2071.98333333333	2355.09333333333	1787.86333333333	1600.46	1030.72666666667	1971.95	1686.975	1668.325	1698.425	1869.29	1587.03
ACTG1P4	0.21625	0.17	0.068	0.1475	0.145	0.082	0.0566666666666667	0	0.08	0.06	0	0	0.0766666666666667	0.2	0	0	0.13	0	0.04
ACTG2	0.01	0.072	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0.06
ACTL10	0.50125	0.192	0.142	0.16125	0.45	0.46	0.496666666666667	0.12	0	0.0566666666666667	0.0233333333333333	0.106666666666667	0.136666666666667	0.095	0.13	0.235	0.395	0.475	0.81
ACTL6A	29.7095833333333	28.774	18.526	10.00625	7.215	20.324	22.43	21.3466666666667	20.99	7.51	4.77666666666667	14.73	15.3866666666667	23.4	22.19	18.785	13.58	13.325	19.315
ACTL6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7A	0.00833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0.125	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0
ACTL8	0.0129166666666667	0	0	0	0	0.028	0.0366666666666667	0	0	0	0	0	0	0	0	0	0	0	0
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	334.842916666667	440.964	501.558	700.24125	744.675	442.212	291.613333333333	182.496666666667	202.69	287.12	350.29	400.62	274.57	164.885	151.835	153.31	170.955	136.305	108.18
ACTN1-AS1	0.113333333333333	1.924	3.14	0.7075	0.1	0.414	0.383333333333333	0.83	0.276666666666667	0.42	0.0766666666666667	0.373333333333333	0.276666666666667	0.545	0.305	0	0	0.24	0.12
ACTN2	0.0579166666666667	0.02	0.07	0.0875	0.045	0.038	0.0166666666666667	0	0	0	0.01	0	0	0	0.05	0.015	0.035	0.07	0.225
ACTN3	0.0075	0.02	0.022	0.00875	0	0	0	0.0166666666666667	0	0	0	0	0	0	0	0	0	0	0
ACTN4	146.6725	135.654	134.54	103.66625	117.8575	171.08	246.806666666667	85.0366666666667	93.7266666666667	71.05	62.2133333333333	109.603333333333	103.25	80.625	69.015	67.895	79.88	103.28	95.855
ACTR10	34.71	37.3	30.708	30.9925	44.08	45.612	39.54	44.05	39.3333333333333	33.84	40.2766666666667	67.2566666666667	54.26	44.655	47.36	54.31	67.195	60.23	57.48
ACTR1A	66.50875	66.368	65.512	58.3575	72.9425	75.718	89.5033333333333	65.82	61.9633333333333	58.2766666666667	60.37	87.5966666666667	78.8633333333333	65.825	52.195	58.965	60.81	52.935	60.52
ACTR1B	32.0041666666667	36.866	31.224	22.41	29.57	28.676	33.0433333333333	24.4066666666667	23.8033333333333	22.3433333333333	22.4233333333333	27.3966666666667	16.89	26.135	24.73	19.495	17.625	12.26	11.485
ACTR2	366.737916666667	426.8	306.11	333.205	397.2025	421.998	360.246666666667	342.183333333333	309.993333333333	294.77	299.93	346.89	264.063333333333	340.035	330.805	344.7	344.795	258.06	225.035
ACTR3	214.962083333333	244.22	267.398	350.12125	318.145	257.742	203.566666666667	201.32	204.683333333333	303.856666666667	307.59	280.483333333333	256.996666666667	199.27	207.535	226.515	252.54	220.89	180.855
ACTR3B	3.49416666666667	3.43	1.74	0.99375	0.79	1.536	2.98	1.63666666666667	1.47	0.116666666666667	0.46	1.35666666666667	1.07666666666667	1.685	1.02	1.2	0.46	0.21	0.56
ACTR3BP2	0.03875	0	0	0.02	0	0.052	0	0	0	0	0	0	0	0.05	0	0	0	0	0
ACTR3BP5	0.0316666666666667	0	0	0	0	0.036	0.143333333333333	0	0	0	0	0	0	0	0	0	0	0	0
ACTR3C	1.00958333333333	0.632	0.482	0.3925	0.3225	0.584	1.95666666666667	0.28	0.116666666666667	0.203333333333333	0	0	0.34	0.26	0.485	0.305	0	0	0.16
ACTR5	2.02666666666667	1.232	0.932	0.545	0.605	1.618	1.67333333333333	1.83	0.856666666666667	0.686666666666667	0.11	0.86	0.84	1.73	1.425	0.72	0.63	1.22	2.065
ACTR6	12.695	15.11	8.316	6.515	8.3075	16.174	15.9766666666667	12.5333333333333	10.5666666666667	5.64666666666667	7.21666666666667	11.2	11.94	12.495	13.82	11.585	11.62	10.27	14.085
ACTR8	14.5258333333333	14.614	10.082	8.675	12.79	18.778	19.2966666666667	14.13	9.72	10.0133333333333	9.8	17.3566666666667	14.98	13.115	8.855	8.205	8.13	11.145	14.62
ACTRT1	0.0195833333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	0.6275	0.978	0.484	0.705	0.3825	2.146	2.68666666666667	0.72	0.59	0.186666666666667	0.366666666666667	0.906666666666667	1.57	1.695	1.92	0.91	0.52	0.74	1.03
ACVR1	23.4991666666667	29.952	24.026	18.02375	21.2125	33.062	33.64	26.95	27.8033333333333	22.83	27.62	41.5366666666667	44.66	26.25	26.3	27.345	29.975	31.805	39.33
ACVR1B	25.3470833333333	18.924	15.236	35.56625	43.9325	43.69	73.8033333333333	12.3766666666667	9.44	14.31	25.21	37.9533333333333	39.5666666666667	13.995	24.175	16.685	11.565	12.61	19.995
ACVR1C	0.0358333333333333	0.038	0.086	0.03875	0.0325	0.132	0.276666666666667	0.00666666666666667	0.0233333333333333	0.05	0.0466666666666667	0.01	0.08	0	0	0.01	0.01	0	0.01
ACVR2A	4.47875	9.634	25.544	4.57875	3.74	2.958	2.82333333333333	4.43666666666667	12.1466666666667	6.95333333333333	3.04333333333333	2.05	1.95666666666667	2.955	2.105	2.73	3.01	1.87	3.665
ACVR2B	3.32166666666667	2.838	1.456	1.04625	1.6	2.492	3.85666666666667	2.77	1.76	1.12333333333333	1.54	2.73666666666667	2.94666666666667	2.36	1.31	0.935	1.01	1.315	2.18
ACVR2B-AS1	0.190833333333333	0.218	0.084	0.04	0.185	0.082	0.33	0.0233333333333333	0.106666666666667	0.143333333333333	0.136666666666667	0.153333333333333	0.216666666666667	0.255	0.105	0.12	0.035	0.165	0.36
ACVRL1	12.9920833333333	16.052	15.182	7.8125	10.3675	12.346	21.2066666666667	16.9566666666667	16.5233333333333	7.73	5.01333333333333	3.78666666666667	5.77666666666667	15.52	13.855	9.22	8.795	10.68	10.925
ACY1	13.7358333333333	15.12	11.644	11.0475	8.0975	4.012	19.89	9.83333333333333	5.47666666666667	6.07	7.19666666666667	1.91666666666667	3.61666666666667	9.98	10.675	7.62	9.44	3.12	1.905
ACY3	1.65875	0	0.054	0	0	0.04	0.143333333333333	0	0	0	0	0	0	0.07	0	0	0	0	0.105
ACYP1	11.1729166666667	10.658	11.9	4.48375	1.325	6.71	3.79666666666667	7	7.8	3.9	2.79666666666667	5.62333333333333	3.35333333333333	8.275	9.11	4.755	2.725	2.59	3.645
ACYP2	5.68041666666667	4.5	4.33	2.81625	2.7725	3.902	2.69333333333333	6	5.77	5.33333333333333	3.42	3.51333333333333	4.87	7.045	8.215	6.7	5.795	4.685	5.115
ADA	21.7158333333333	12.81	16.092	49.11875	86.4825	27.566	15.7766666666667	6.92	9.45333333333333	79.8366666666667	168.446666666667	202.676666666667	135.053333333333	7.53	6.225	3.825	3.015	1.625	4.455
ADAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAD2	0.0220833333333333	0.106	0.086	0.0925	0.07	0.024	0	0	0	0.113333333333333	0	0.0733333333333333	0	0	0	0	0	0	0
ADAL	2.92375	2.788	1.8	0.78125	0.67	1.618	2.29666666666667	2.96666666666667	2.53333333333333	0.813333333333333	0.543333333333333	1	1.07333333333333	2.44	2.29	1.28	1.075	1.04	2.08
ADAM10	106.437916666667	111.964	85.004	61.91	58.045	76.896	96.4	136.05	126.13	90.8633333333333	67.3333333333333	93.22	162.23	125.35	115.88	110.915	102.48	86.225	96.475
ADAM11	0.105833333333333	0.014	0.018	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.03	0
ADAM12	19.6645833333333	33.48	21.492	12.91625	8.095	6.892	10.1266666666667	10.5666666666667	9.16333333333333	6.44666666666667	4.98	3.11333333333333	3.44333333333333	9.51	9.63	6	2.34	1.305	1.49
ADAM15	86.1604166666667	132.084	117.042	97.4275	85.705	37.006	25.2133333333333	10.62	10.42	8.23333333333333	7.32	3.29	1.27666666666667	9.445	8.93	7.205	7.12	8.025	6.865
ADAM17	38.4695833333333	44.734	66.716	72.7375	70.6225	36.466	38.5966666666667	51.9833333333333	70.7833333333333	94.7733333333333	73.3966666666667	49.0266666666667	40.88	43.975	51.95	71.945	78.78	57.91	55.86
ADAM18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM19	2.645	2.804	8.434	17.77	20.75	75.596	70.72	0.786666666666667	2.60666666666667	28.64	40.15	29.3966666666667	2.45666666666667	0.585	0.925	1.28	1	0.38	0.26
ADAM1A	1.99833333333333	1.266	1.91	1.185	0.75	1.002	1.41333333333333	0.92	1.96666666666667	0.596666666666667	0.46	0.656666666666667	0.56	1.03	0.6	0.245	0.125	0.29	0.36
ADAM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM20	0.15	0	0	0.05375	0	0	0.03	0.02	0	0.02	0	0.123333333333333	0.0533333333333333	0.025	0.145	0.055	0.06	0.1	0.155
ADAM20P1	0.194583333333333	0.106	0.098	0.18875	0.02	0.018	0.0766666666666667	0	0.0166666666666667	0	0.02	0	0.0533333333333333	0.105	0.085	0.025	0	0.065	0.095
ADAM21	0.05625	0	0	0.0575	0.0525	0	0	0	0	0	0	0	0	0	0	0	0	0.025	0.085
ADAM21P1	0.00541666666666667	0	0	0	0	0.034	0	0	0	0	0	0	0	0.045	0	0	0	0	0
ADAM22	0.702083333333333	0.202	0.282	0.5925	0.4525	0.464	0.523333333333333	0	0.00666666666666667	0	0	0	0	0.03	0.01	0	0	0.005	0
ADAM23	0.252083333333333	0.414	0.264	0.31875	0.1675	0.168	0.333333333333333	0.0433333333333333	0.0766666666666667	0.01	0	0	0.0266666666666667	0.08	0.05	0	0	0.01	0
ADAM28	8.65916666666667	0.294	0.646	0.1575	0.3275	0.43	0.303333333333333	0.263333333333333	0.17	0.0933333333333333	0.38	0.403333333333333	0.216666666666667	0.155	0.205	0.2	0.24	0.19	0.13
ADAM29	0	0	0	0	0	0	0.0533333333333333	0	0	0	0	0	0	0.03	0	0	0	0	0
ADAM30	0	0	0	0.00875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	0.105833333333333	0.11	0.088	0.0875	0.0325	0.112	0.106666666666667	0.0833333333333333	0.116666666666667	0	0.116666666666667	0.18	0.49	0.21	0.065	0.17	0.265	0.255	0.16
ADAM33	0.00166666666666667	0.012	0.018	0	0	0	0	0	0	0.0166666666666667	0	0	0	0	0	0.09	0	0	0
ADAM3A	0.00458333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	0.00666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM8	39.3208333333333	41.26	41.486	38.07125	63.68	77.666	76.85	13.5833333333333	15.2133333333333	16.92	16.9833333333333	32.0233333333333	59.0466666666667	12.825	10.585	10.105	12.08	12.19	13.235
ADAM9	185.845416666667	253.744	215.678	234.31875	266.3675	301.232	293.81	178.503333333333	172.063333333333	171.98	179.463333333333	221.426666666667	277.626666666667	184.095	176.08	164.335	164.285	129.975	90.6
ADAMDEC1	2.765	0.328	1.218	2.5675	6.8175	17.332	72.5033333333333	0.0233333333333333	0.0866666666666667	0.533333333333333	0.656666666666667	2.09666666666667	7.38	0.03	0	0.07	0.075	0.24	0.535
ADAMTS1	1.325	0	0	0	0	0	0	0	0	0	0	0	0.0166666666666667	0.015	0	0	0	0	0
ADAMTS10	0.505833333333333	0	0.122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS12	0.0658333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS13	0.182083333333333	0.166	0.096	0.04375	0.04	0.08	0.08	0.0533333333333333	0	0	0.0133333333333333	0	0.0433333333333333	0	0	0	0	0.05	0
ADAMTS14	1.20083333333333	0.12	0.498	0.31875	0.3475	2.538	2.79	0.0433333333333333	0.0566666666666667	0.383333333333333	0.586666666666667	2.57666666666667	1.97	0.045	0.03	0	0.065	0.04	0.055
ADAMTS15	2.00875	1.598	0.764	0.39125	0.1125	0.644	0.43	1.51	0.813333333333333	0.0933333333333333	0.0933333333333333	0.106666666666667	0.506666666666667	1.325	0.335	0.265	0.28	0.9	1.335
ADAMTS16	0	0	0	0	0	0.014	0.0166666666666667	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS17	0.114583333333333	0.048	0.154	0.115	0.0225	0.052	0.0166666666666667	0.0233333333333333	0.01	0.0233333333333333	0	0.09	0.0233333333333333	0.055	0.14	0.04	0.03	0.02	0.01
ADAMTS18	0.005	0	0	0.0075	0.0075	0.008	0	0	0	0	0	0	0	0.025	0	0	0	0	0
ADAMTS19	0.00458333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS19-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS2	1.24916666666667	1.656	0.72	1.29875	0.3775	1.196	0.206666666666667	0.463333333333333	0.73	0.32	0.183333333333333	0.423333333333333	0.336666666666667	0.78	0.545	0.56	0.57	0.34	0.44
